PaperId,Category
1454,cs.CL
1455,cs.CL
1456,cs.CL
1458,cs.CL
1459,cs.CL
1460,cs.CL
1461,cs.CL
1462,cs.CL
1463,cs.CL
1464,cs.CL
1465,cs.CL
1466,cs.CL
1467,cs.CL
1468,cs.CL
1469,cs.CL
1470,cs.CL
1471,cs.CL
1472,cs.CL
1473,cs.CL
1474,cs.CL
1475,cs.CL
1476,cs.CL
1477,cs.CL
1478,cs.CL
1479,cs.CL
1480,cs.CL
1482,cs.CL
1484,cs.CL
1486,cs.CL
1487,cs.CL
1488,cs.CL
1489,cs.CL
1490,cs.CL
1491,cs.CL
1492,cs.CL
1493,cs.CL
1494,cs.CL
1495,cs.CL
1496,cs.CL
1497,cs.CL
1498,cs.CL
1499,cs.CL
1500,cs.CL
1501,cs.CL
1502,cs.CL
1503,cs.CL
1504,cs.CL
1505,cs.CL
1506,cs.CL
1507,cs.CL
1508,cs.CL
1509,cs.CL
1510,cs.CL
1511,cs.CL
1512,cs.CL
1513,cs.CL
1514,cs.CL
1515,cs.CL
1516,cs.CL
1517,cs.CL
1518,cs.CL
1519,cs.CL
1520,cs.CL
1521,cs.CL
1522,cs.CL
1523,cs.CL
1524,cs.CL
1525,cs.CL
1526,cs.CL
1527,cs.CL
1528,cs.CL
1529,cs.CL
1530,cs.CL
1531,cs.CL
1532,cs.CL
1533,cs.CL
1534,cs.CL
1535,cs.CL
1536,cs.CL
1537,cs.CL
1538,cs.CL
1539,cs.CL
1540,cs.CL
1541,cs.CL
1542,cs.CL
1543,cs.CL
1544,cs.CL
1545,cs.CL
1547,cs.CL
1548,cs.CL
1549,cs.CL
1550,cs.CL
1551,cs.CL
1552,cs.CL
1553,cs.CL
1554,cs.CL
1555,cs.CL
1556,cs.CL
1557,cs.CL
1558,cs.CL
1559,cs.CL
1561,cs.CL
1562,cs.CL
1564,cs.CL
1565,cs.CL
1566,cs.CL
1567,cs.CL
1568,cs.CL
1569,cs.CL
1570,cs.CL
1571,cs.CL
1572,cs.CL
1574,cs.CL
1576,cs.CL
1577,cs.CL
1578,cs.CL
1579,cs.CL
1580,cs.CL
1581,cs.CL
1582,cs.CL
1583,cs.CL
1584,cs.CL
1586,cs.CL
1587,cs.CL
1588,cs.CL
1589,cs.CL
1590,cs.CL
1591,cs.CL
1592,cs.CL
1593,cs.CL
1595,cs.CL
1596,cs.CL
1597,cs.CL
1598,cs.CL
1599,cs.CL
1600,cs.CL
1601,cs.CL
1602,cs.CL
1603,cs.CL
1604,cs.CL
1605,cs.CL
1606,cs.CL
1607,cs.CL
1608,cs.CL
1609,cs.CL
1610,cs.CL
1611,cs.CL
1612,cs.CL
1613,cs.CL
1614,cs.CL
1615,cs.CL
1616,cs.CL
1617,cs.CL
1618,cs.CL
1619,cs.CL
1620,cs.CL
1622,cs.CL
1623,cs.CL
1624,cs.CL
1625,cs.CL
1626,cs.CL
1627,cs.CL
1628,cs.CL
1629,cs.CL
1630,cs.CL
1631,cs.CL
1632,cs.CL
1633,cs.CL
1634,cs.CL
1635,cs.CL
1636,cs.CL
1637,cs.CL
1638,cs.CL
1639,cs.CL
1640,cs.CL
1642,cs.CL
1643,cs.CL
1644,cs.CL
1645,cs.CL
1646,cs.CL
1647,cs.CL
1648,cs.CL
1649,cs.CL
1650,cs.CL
1651,cs.CL
1653,cs.CL
1654,cs.CL
1655,cs.CL
1656,cs.CL
1657,cs.CL
1658,cs.CL
1659,cs.CL
1660,cs.CL
1662,cs.CL
1663,cs.CL
1665,cs.CL
1666,cs.CL
1667,cs.CL
1668,cs.CL
1669,cs.CL
1670,cs.CL
1671,cs.CL
1672,cs.CL
1673,cs.CL
1674,cs.CL
1675,cs.CL
1676,cs.CL
1677,cs.CL
1678,cs.CL
1679,cs.CL
1681,cs.CL
1682,cs.CL
1683,cs.CL
1684,cs.CL
1685,cs.CL
1686,cs.CL
